episode,total_cost,delay_cost,robot_cost,picker_cost,completed_orders,on_time_completed_orders,total_orders,average_picking_time,completion_rate,scenario,mode,seed
1,282194.36370372854,61014.36370372857,19580.0,201600.0,6624,6294,6626,561.4628554040559,0.9498943555689707,2,short,0
2,286640.4210137677,39390.31993524374,29810.101078523985,217440.0,6624,6322,6626,511.1266349321505,0.9541201328101419,2,short,0
