episode,total_cost,delay_cost,robot_cost,picker_cost,completed_orders,on_time_completed_orders,total_orders,average_picking_time,completion_rate,scenario,mode,seed
1,331778.72841966205,2298.7284196620676,28160.0,301320.0,6625,6536,6626,230.50064410641016,0.9864171445819498,2,short,0
2,1840276.314144877,1532126.314144877,13310.0,294840.0,6625,4744,6626,5996.343440323204,0.7159674011469966,2,short,0
